date,day,price,atm_ce_1,atm_pe_1,itm_ce_1,itm_ce_2,itm_ce_3,itm_ce_4,itm_ce_5,itm_pe_1,itm_pe_2,itm_pe_3,itm_pe_4,itm_pe_5,otm_ce_1,otm_ce_2,otm_ce_3,otm_ce_4,otm_ce_5,otm_pe_1,otm_pe_2,otm_pe_3,otm_pe_4,otm_pe_5
03-12-2025,6,26028,134.2,134.65,109.1,87.5,70.4,55.45,43.4,159.9,191,221.75,258.75,294.7,109.1,87.5,70.4,55.45,43.4,159.9,191,221.75,258.75,294.7
04-12-2025,5,25955.15,120.75,110.4,97.9,77.3,60.3,46.3,35.85,134.95,165.95,199.15,235.1,274.55,97.9,77.3,60.3,46.3,35.85,134.95,165.95,199.15,235.1,274.55
05-12-2025,4,26022.7,131.4,77.05,103.15,80,59.4,43.75,31.2,98.9,124.45,155.35,190.05,227.2,103.15,80,59.4,43.75,31.2,98.9,124.45,155.35,190.05,227.2
08-12-2025,1,26152.85,85.8,60.3,59.25,38.9,24.1,14.1,8.05,85.1,113.3,150.05,189.3,232.15,59.25,38.9,24.1,14.1,8.05,85.1,113.3,150.05,189.3,232.15
09-12-2025,0,25840.7,62.55,50.95,41.2,25.15,15.45,9.55,6.55,76.2,112.4,152.4,195.95,244,41.2,25.15,15.45,9.55,6.55,76.2,112.4,152.4,195.95,244
10-12-2025,6,25866.05,137.75,126.1,112.05,89.4,71.25,56,44.05,150.55,181.1,211.2,246.65,283.55,112.05,89.4,71.25,56,44.05,150.55,181.1,211.2,246.65,283.55
11-12-2025,5,25731.5,150.55,101.1,122.6,99.45,80.8,63.6,49.8,124.85,152.1,182.05,215.2,252.15,122.6,99.45,80.8,63.6,49.8,124.85,152.1,182.05,215.2,252.15
12-12-2025,4,25989.05,99.1,90.4,73.25,52.6,36.85,25.4,17.25,114.5,145.3,179.4,218.55,258,73.25,52.6,36.85,25.4,17.25,114.5,145.3,179.4,218.55,258
15-12-2025,1,25964.6,79.2,69.3,56,37.7,24.95,15.85,10.05,95.35,127.6,163.55,205.15,250,56,37.7,24.95,15.85,10.05,95.35,127.6,163.55,205.15,250
16-12-2025,0,25931.3,45.7,62.45,27.3,14.8,7.85,4.4,2.8,93.25,132.05,173.05,221.4,269.55,27.3,14.8,7.85,4.4,2.8,93.25,132.05,173.05,221.4,269.55
