id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Business Inventories m/m,USD,2017-01-13T10:00:00Z,None,0.3%,-0.1%,0.7%,false,false
,Prelim UoM Inflation Expectations,USD,2017-01-13T10:00:00Z,None,,2.2%,2.6%,false,false
,FPI m/m,NZD,2017-01-15T16:45:00Z,None,,-0.1%,-0.8%,false,false
,Core Machinery Orders m/m,JPY,2017-01-15T18:50:00Z,None,-1.3%,4.1%,-5.1%,false,false
,PPI y/y,JPY,2017-01-15T18:50:00Z,None,-1.4%,-2.2%,-1.2%,false,false
,MI Inflation Gauge m/m,AUD,2017-01-15T19:00:00Z,None,,0.1%,0.5%,false,false
,Rightmove HPI m/m,GBP,2017-01-15T19:01:00Z,None,,-2.1%,0.4%,false,false
,Tertiary Industry Activity m/m,JPY,2017-01-15T23:30:00Z,None,0.2%,0.0%,0.2%,false,false
,Bank Holiday,USD,2017-01-16T00:00:00Z,None,,,,true,false
,Prelim Machine Tool Orders y/y,JPY,2017-01-16T00:59:00Z,None,,-5.6%,4.4%,false,false
,Trade Balance,EUR,2017-01-16T05:00:00Z,None,23.2B,19.9B,22.7B,false,false
,BOE Gov Carney Speaks,GBP,2017-01-16T13:30:00Z,High,,,,false,false
,NZIER Business Confidence,NZD,2017-01-16T16:00:00Z,None,,26,28,false,false
,Home Loans m/m,AUD,2017-01-16T19:30:00Z,None,0.1%,-0.6%,0.9%,false,false
,New Motor Vehicle Sales m/m,AUD,2017-01-16T19:30:00Z,None,,-0.7%,0.3%,false,false
,Revised Industrial Production m/m,JPY,2017-01-16T23:30:00Z,None,1.5%,1.5%,1.5%,false,false
,WEF Annual Meetings,All,2017-01-17T00:00:00Z,None,,,,false,false
,Italian Trade Balance,EUR,2017-01-17T04:00:00Z,None,3.84B,4.29B,4.20B,false,false
,CPI y/y,GBP,2017-01-17T04:30:00Z,High,1.4%,1.2%,1.6%,false,false
,PPI Input m/m,GBP,2017-01-17T04:30:00Z,None,2.2%,-0.6%,1.8%,false,false
,RPI y/y,GBP,2017-01-17T04:30:00Z,None,2.3%,2.2%,2.5%,false,false
,Core CPI y/y,GBP,2017-01-17T04:30:00Z,None,1.4%,1.4%,1.6%,false,false
,HPI y/y,GBP,2017-01-17T04:30:00Z,None,6.3%,6.4%,6.7%,false,false
,PPI Output m/m,GBP,2017-01-17T04:30:00Z,None,0.3%,0.1%,0.1%,false,false
,German ZEW Economic Sentiment,EUR,2017-01-17T05:00:00Z,None,18.9,13.8,16.6,false,false
,ZEW Economic Sentiment,EUR,2017-01-17T05:00:00Z,None,24.2,18.1,23.2,false,false
,French Gov Budget Balance,EUR,2017-01-17T05:36:00Z,None,,-85.5B,-93.3B,false,false
,Prime Minister May Speaks,GBP,2017-01-17T06:45:00Z,High,,,,false,false
,Empire State Manufacturing Index,USD,2017-01-17T08:30:00Z,None,8.1,9.0,6.5,false,false
,FOMC Member Dudley Speaks,USD,2017-01-17T08:45:00Z,None,,,,false,false
,GDT Price Index,NZD,2017-01-17T08:47:00Z,High,,-3.9%,0.6%,false,false
,CB Leading Index m/m,GBP,2017-01-17T09:30:00Z,None,,0.1%,0.0%,false,false
,Treasury Sec Lew Speaks,USD,2017-01-17T10:00:00Z,High,,,,false,false
,FOMC Member Brainard Speaks,USD,2017-01-17T10:00:00Z,None,,,,false,false
,Westpac Consumer Sentiment,AUD,2017-01-17T18:30:00Z,None,,-3.9%,0.1%,false,false
,WEF Annual Meetings,All,2017-01-18T00:00:00Z,None,,,,false,false
,German Final CPI m/m,EUR,2017-01-18T02:00:00Z,None,0.7%,0.7%,0.7%,false,false
,Average Earnings Index 3m/y,GBP,2017-01-18T04:30:00Z,High,2.6%,2.6%,2.8%,false,false
,Claimant Count Change,GBP,2017-01-18T04:30:00Z,High,4.6K,1.3K,-10.1K,false,false
,Unemployment Rate,GBP,2017-01-18T04:30:00Z,None,4.8%,4.8%,4.8%,false,false
,Final CPI y/y,EUR,2017-01-18T05:00:00Z,None,1.1%,1.1%,1.1%,false,false
,Final Core CPI y/y,EUR,2017-01-18T05:00:00Z,None,0.9%,0.9%,0.9%,false,false
,Core CPI m/m,USD,2017-01-18T08:30:00Z,High,0.2%,0.2%,0.2%,false,false
,Core CPI y/y,USD,2017-01-18T08:30:00Z,High,2.1%,2.1%,2.2%,false,false
,CPI m/m,USD,2017-01-18T08:30:00Z,High,0.3%,0.2%,0.3%,false,false
,CPI y/y,USD,2017-01-18T08:30:00Z,High,2.1%,1.7%,2.1%,false,false
,Capacity Utilization Rate,USD,2017-01-18T09:15:00Z,None,75.6%,74.9%,75.5%,false,false
,Industrial Production m/m,USD,2017-01-18T09:15:00Z,None,0.8%,-0.7%,0.8%,false,false
,BOC Monetary Policy Report,CAD,2017-01-18T10:00:00Z,High,,,,false,false
,BOC Rate Statement,CAD,2017-01-18T10:00:00Z,High,,,,false,false
,Overnight Rate,CAD,2017-01-18T10:00:00Z,High,0.50%,0.50%,0.50%,false,false
,NAHB Housing Market Index,USD,2017-01-18T10:00:00Z,None,69,69,67,false,false
,FOMC Member Kashkari Speaks,USD,2017-01-18T11:00:00Z,None,,,,false,false
,BOC Press Conference,CAD,2017-01-18T11:15:00Z,High,,,,false,false
,Beige Book,USD,2017-01-18T14:00:00Z,None,,,,false,false
,Fed Chair Yellen Speaks,USD,2017-01-18T15:00:00Z,High,,,,false,false
,TIC Long-Term Purchases,USD,2017-01-18T16:00:00Z,None,21.3B,9.3B,30.8B,false,false
,BusinessNZ Manufacturing Index,NZD,2017-01-18T16:30:00Z,None,,54.5,54.5,false,false
,API Weekly Statistical Bulletin,USD,2017-01-18T16:30:00Z,None,,,,false,false
,Building Consents m/m,NZD,2017-01-18T16:45:00Z,None,,2.0%,-9.2%,false,false
,MI Inflation Expectations,AUD,2017-01-18T19:00:00Z,None,,3.4%,4.3%,false,false
,RICS House Price Balance,GBP,2017-01-18T19:01:00Z,None,32%,29%,24%,false,false
,Employment Change,AUD,2017-01-18T19:30:00Z,High,10.2K,37.1K,13.5K,false,false
,Unemployment Rate,AUD,2017-01-18T19:30:00Z,High,5.7%,5.7%,5.8%,false,false
,WEF Annual Meetings,All,2017-01-19T00:00:00Z,None,,,,false,false
,PPI m/m,CHF,2017-01-19T03:15:00Z,None,0.2%,0.1%,0.2%,false,false
,Current Account,EUR,2017-01-19T04:00:00Z,None,29.3B,28.3B,36.1B,false,false
,Main Refinancing Rate,EUR,2017-01-19T07:45:00Z,High,0.00%,0.00%,0.00%,false,false
,Monetary Policy Statement,EUR,2017-01-19T07:45:00Z,High,,,,false,false
,Manufacturing Sales m/m,CAD,2017-01-19T08:30:00Z,High,0.2%,-0.6%,1.5%,false,false
,ECB Press Conference,EUR,2017-01-19T08:30:00Z,High,,,,false,false
,Philly Fed Manufacturing Index,USD,2017-01-19T08:30:00Z,High,16.3,21.5,23.6,false,false
,Unemployment Claims,USD,2017-01-19T08:30:00Z,High,252K,249K,234K,false,false
,Housing Starts,USD,2017-01-19T08:30:00Z,None,1.19M,1.10M,1.23M,false,false
,Building Permits,USD,2017-01-19T08:30:00Z,High,1.22M,1.21M,1.21M,false,false
