tag,verdict,failed,note,n,net,avg,wr,pf,tr,ho,yrs_pos,maxdd,avg2x,avg3x
MACROSS gold FIXED rr3.0 (deployed shape),PASS,,,389,64.1636,0.1649,0.3085,1.2355,37.8486,26.315,14/19,-31.1306,0.1245,0.1328
MACROSS gold TRAIL 3.0ATR,PASS,,,409,81.6727,0.1997,0.3643,1.3764,65.7241,15.9486,14/19,-24.8781,0.1634,0.1326
MACROSS gold TRAIL 4.0ATR,PASS,,,402,61.8818,0.1539,0.3284,1.2566,43.787,18.0948,11/19,-32.0086,0.1219,0.1557
MACROSS gold TRAIL 5.0ATR,PASS,,,391,108.7871,0.2782,0.2941,1.4272,66.6166,42.1705,15/19,-38.5392,0.2398,0.2105
BOS gold FIXED rr5.0 (deployed shape),PASS,,,1691,273.0307,0.1615,0.2655,1.2186,186.3697,86.661,13/19,-43.4059,0.1251,0.0853
BOS gold TRAIL 3.0ATR,PASS,,,2035,236.4446,0.1162,0.3459,1.2131,152.4154,84.0292,12/19,-48.2083,0.0834,0.0519
BOS gold TRAIL 4.0ATR,PASS,,,1725,253.9742,0.1472,0.3206,1.2387,164.4744,89.4998,13/19,-58.8479,0.1138,0.0838
BOS gold TRAIL 5.0ATR,PASS,,,1527,270.371,0.1771,0.2927,1.2664,174.0533,96.3177,13/19,-69.8362,0.1379,0.1114
DONCH96 SPX500 FIXED rr3.0 (deployed shape),reject,"avg>=floor,2x_cost_avg>0",2022+ only,198,8.7683,0.0443,0.3182,1.0632,2.1716,6.5968,3/5,-20.8017,-0.0221,-0.0921
DONCH96 SPX500 TRAIL 3.0ATR,PASS,,2022+ only,183,30.249,0.1653,0.4098,1.3342,18.7456,11.5034,4/5,-20.0687,0.0784,0.006
DONCH96 SPX500 TRAIL 4.0ATR,PASS,,2022+ only,164,27.61,0.1684,0.4024,1.3013,15.3857,12.2243,4/5,-15.4391,0.0804,-0.0011
DONCH96 SPX500 TRAIL 5.0ATR,PASS,,2022+ only,157,13.4774,0.0858,0.3248,1.1385,11.0944,2.383,3/5,-16.9953,0.0016,-0.0767
DONCH96 GER40 FIXED rr3.0 (deployed shape),PASS,,2022+ only,200,43.9258,0.2196,0.335,1.3222,18.2077,25.718,3/5,-10.0668,0.1619,0.1528
DONCH96 GER40 TRAIL 3.0ATR,PASS,,2022+ only,172,50.1843,0.2918,0.3953,1.577,14.334,35.8503,3/5,-10.3361,0.23,0.1893
DONCH96 GER40 TRAIL 4.0ATR,PASS,,2022+ only,155,47.6425,0.3074,0.3613,1.5136,19.1787,28.4638,3/5,-9.6546,0.2688,0.2252
DONCH96 GER40 TRAIL 5.0ATR,PASS,,2022+ only,141,56.9819,0.4041,0.3475,1.6465,20.3626,36.6193,3/5,-11.8026,0.3616,0.3133
DONCH96 US30 FIXED rr3.0 (deployed shape),PASS,,2022+ only,181,27.2517,0.1506,0.3204,1.2222,16.4877,10.764,3/5,-15.1922,0.134,0.1326
DONCH96 US30 TRAIL 3.0ATR,PASS,,2022+ only,162,46.0266,0.2841,0.3889,1.5508,20.665,25.3616,5/5,-10.0386,0.253,0.2234
