id,symbol,tf,family,params,rr_plan,n,tpm,wr,rr_real,avg_r,net,tr,ho,n_ho,stress3x,stress3x_status,verdict,plateau
ZB-PIV5-US30-H1-pad0.1-rr3,US30,H1,PIV5,pad0.1,3.0,1086,13.449080553295362,26.151012891344383,2.782555066699032,-0.0107698467246229,-11.69605354294055,-27.492399523016285,15.796345980075738,395,-20.6,Fail,REJECT,0.75
ZB-PIV5-US30-H1-pad0.25-rr2,US30,H1,PIV5,pad0.25,2.0,1262,15.6286737184703,33.914421553090335,1.9878943849730752,0.0133109237539315,16.798385777461668,-34.754974118446626,51.55335989590831,472,6.4,Pass,REJECT,0.75
ZB-PIV5-US30-H1-pad0.25-rr3,US30,H1,PIV5,pad0.25,3.0,1049,12.99087062652563,26.69208770257388,2.787577042441232,0.0109197879812279,11.45485759230816,6.876893837822987,4.577963754485166,384,-11.3,Fail,REJECT,0.75
"ZB-BOX-US30-H1-N24,tight2.5-rr2",US30,H1,BOX,"N24,tight2.5",2.0,25,0.3096013018714402,36.0,2.0,0.08,2.0,-1.0,3.0,9,2.0,Pass,REJECT,0.5
"ZB-BOX-US30-H1-N24,tight2.5-rr3",US30,H1,BOX,"N24,tight2.5",3.0,25,0.3096013018714402,24.0,3.0,-0.04,-1.0,0.0,-1.0,9,-1.0,Fail,REJECT,0.5
ZB-CMPX-US30-H1-q0.25-rr2,US30,H1,CMPX,q0.25,2.0,336,4.161041497152156,33.33333333333333,1.9849827202436736,-0.0050057599187753,-1.6819353327085151,-1.6819353327085125,0.0,111,-9.7,Fail,REJECT,0.0
ZB-CMPX-US30-H1-q0.25-rr3,US30,H1,CMPX,q0.25,3.0,288,3.566606997558991,23.958333333333336,2.891181178450739,-0.0677378426628438,-19.508498686899017,-11.508498686899015,-8.0,96,-15.7,Fail,REJECT,0.0
ZB-PIV5-US30-H4-pad0.1-rr2,US30,H4,PIV5,pad0.1,2.0,506,2.9757805255023184,34.58498023715415,1.941065665016432,0.0168524168332033,8.527322917600872,22.17311231540303,-13.645789397802163,137,3.4,Pass,REJECT,1.0
ZB-PIV5-US30-H4-pad0.1-rr3,US30,H4,PIV5,pad0.1,3.0,443,2.6052782071097376,29.345372460496616,2.5295042053808707,0.0350265967448732,15.516782357978837,26.07685322674424,-10.560070868765395,126,10.3,Pass,REJECT,1.0
ZB-PIV5-US30-H4-pad0.25-rr2,US30,H4,PIV5,pad0.25,2.0,488,2.8699227202472954,34.22131147540984,1.939372178678349,0.0057820946985259,2.821662212880641,12.032353823399468,-9.210691610518822,127,-0.3,Fail,REJECT,1.0
