SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
SETF10GILT,Nifty 10 yr Benchmark G-Sec Index,-,"4,945",259.84,GSEC,2026-02-23
LIQUIDETF,Nifty1D rate index,-,"2,44,474","1,000.00",LIQUID,2026-02-23
LIQUIDSBI,SBI NIFTY 1D Rate ETF,-,"9,541","1,000.01",LIQUID,2026-02-23
SBIETFPB,Nifty Private Bank Index,-,"4,124",294.10,NIFTY_BANK,2026-02-23
MOM50,Nifty 50,-,"3,630",265.76,NIFTY_50,2026-02-23
ESENSEX,BSE Sensex TRI,-,-,83.04,SENSEX,2026-02-23
LOWVOL1,Kotak Nifty 100 Low Vol 30 ETF,-,"1,31,862",21.56,LOW_VOLATILITY,2026-02-23
LIQUIDBEES,Government Securities,-,"41,98,430","1,000.01",LIQUID,2026-02-23
ABSLLIQUID,Aditya Birla Sun Life CRISIL Overnight Fund AI ETF,-,"2,730","1,000.00",LIQUID,2026-02-23
LIQUIDIETF,S&P BSE Liquid Rate Index,-,"3,58,636","1,000.00",LIQUID,2026-02-23
BANKETF,Mirae Asset Nifty Bank ETF,-,"4,566",621.02,NIFTY_BANK,2026-02-23
LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF,-,"51,506",999.99,LIQUID,2026-02-23
LICNETFSEN,SENSEX,-0.01,18,936.53,SENSEX,2026-02-23
BANKNIFTY1,Nifty Bank,-0.01,"21,634",631.89,NIFTY_BANK,2026-02-23
BBNPNBETF,Baroda BNP Paribas NIFTY Bank ETF,-0.02,"2,287",61.61,NIFTY_BANK,2026-02-23
SENSEXIETF,SENSEX,-0.03,"9,517",946.95,SENSEX,2026-02-23
MOQUALITY,Motilal Oswal S&P BSE Quality ETF,-0.03,810,194.60,QUALITY,2026-02-23
MIDCAPIETF,Nifty Midcap 150,-0.04,"7,91,837",22.62,NIFTY_MIDCAP,2026-02-23
GILT5YBEES,Nifty 5 yr Benchmark G-Sec Index,-0.05,"1,84,421",64.24,GSEC,2026-02-23
EBBETF0433,BHARAT Bond ETF-April 2033,-0.05,"5,061","1,279.99",,2026-02-23
GSEC10IETF,ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,-0.08,"8,459",259.29,GSEC,2026-02-23
BSE500IETF,S&P BSE 500 index,-0.08,"3,94,791",39.54,,2026-02-23
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,-0.09,"89,278",21.66,LOW_VOLATILITY,2026-02-23
MID150CASE,Zerodha Nifty Midcap 150 ETF,-0.09,"15,38,090",10.95,NIFTY_MIDCAP,2026-02-23
SETFNN50,Nifty Next 50,-0.10,"14,752",740.00,NIFTY_50,2026-02-23
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES,-0.11,"2,62,382",746.72,NIFTY_NEXT_50,2026-02-23
MOGSEC,Nifty 5 yr Benchmark G-Sec Index,-0.11,"63,858",63.42,GSEC,2026-02-23
SNXT50BETA,BSE Sensex Next 50,-0.11,"4,383",92.09,SENSEX,2026-02-23
SNXT30BEES,BSE Sensex Next 30 Index,-0.12,"9,011",41.30,SENSEX,2026-02-23
MSCIADD,MSCI India Index,-0.13,"14,22,944",30.39,,2026-02-23
MAFANG,NYSE FANG+ Total Return Index,-0.14,"1,78,470",153.49,,2026-02-23
HDFCQUAL,HDFC NIFTY100 Quality 30 ETF,-0.15,"11,670",58.20,QUALITY,2026-02-23
INTERNET,Equity Index,-0.16,"64,144",12.50,,2026-02-23
MIDCAPBETA,UTI Nifty Midcap 150 Exchange Traded Fund (ETF),-0.16,"1,730",220.88,NIFTY_MIDCAP,2026-02-23
ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,-0.16,"2,72,571",25.59,ALPHA,2026-02-23
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,-0.17,"78,740",124.63,VALUE,2026-02-23
METALIETF,Nifty Metal Index,-0.17,"1,19,72,976",11.99,METAL,2026-02-23
ABSLMSCIN,MSCI India Index,-0.17,646,30.22,,2026-02-23
GROWWRAIL,Nifty India Railways PSU Index,-0.18,"4,19,882",33.55,PSU,2026-02-23
ABGSEC,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,-0.19,82,112.01,GSEC,2026-02-23
MOMIDMTM,Nifty Midcap 150 Momentum 50 Total Return Index,-0.21,"94,132",63.00,NIFTY_MIDCAP,2026-02-23
