sym,family,cell,params,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,yrs_pos,tr_avg_2x,va_net_2x,tr_avg_3x,va_net_3x
GBPUSD,ORB,5,"{'open_min': 480, 'rng_min': 30, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",2837,-92.17254073077842,-0.03248943980640762,0.39584067677123724,1632,-33.4291528688337,-0.020483549551981433,1205,-58.74338786194473,-0.048749699470493554,-134.35794365858698,5/12,,,,
GBPUSD,ORB,6,"{'open_min': 480, 'rng_min': 60, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",2267,-83.04091132085884,-0.03663030936076702,0.4450816056462285,1322,-61.34241335214332,-0.04640122038740039,945,-21.698497968715536,-0.02296137351186829,-103.28950739031988,2/12,,,,
GBPUSD,ORB,7,"{'open_min': 480, 'rng_min': 60, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",2267,-76.77243632943075,-0.03386521231999592,0.4411116012351125,1322,-58.79443658412335,-0.044473855207355036,945,-17.97799974530739,-0.019024338354822635,-97.24117330560067,2/12,,,,
GBPUSD,PULL,0,"{'rr': 2.0, 'stop_atr': 1.5, 'sides': 'L'}",1173,-75.85174077180119,-0.06466474064092173,0.31798806479113384,639,-46.76131838435536,-0.0731789020099458,534,-29.090422387445848,-0.05447644641843792,-94.75718335998718,5/12,,,,
GBPUSD,PULL,1,"{'rr': 2.0, 'stop_atr': 1.5, 'sides': 'LS'}",2186,-123.30030686022994,-0.056404531958019186,0.32067703568161027,1231,-42.5183923385469,-0.03453971757802348,955,-80.781914521683,-0.08458839216930157,-176.54693113052952,4/12,,,,
GBPUSD,PULL,2,"{'rr': 2.0, 'stop_atr': 2.5, 'sides': 'L'}",696,-25.790873968453894,-0.037055853402951,0.3333333333333333,382,-22.52161066553014,-0.058957095983063194,314,-3.2692633029237594,-0.01041166656982089,-38.15108246655689,4/12,,,,
GBPUSD,PULL,3,"{'rr': 2.0, 'stop_atr': 2.5, 'sides': 'LS'}",1286,-60.933044313273555,-0.04738183850176793,0.3265940902021773,731,-23.777848384610856,-0.03252783636745671,555,-37.1551959286627,-0.06694629897056342,-74.24367540435082,4/12,,,,
GBPUSD,PULL,4,"{'rr': 3.0, 'stop_atr': 1.5, 'sides': 'L'}",991,-30.867273577505124,-0.0311476019954643,0.248234106962664,543,-33.730771923471174,-0.06211928531025999,448,2.8634983459660646,0.006391737379388537,-70.04812034157163,6/12,,,,
GBPUSD,PULL,5,"{'rr': 3.0, 'stop_atr': 1.5, 'sides': 'LS'}",1846,-9.874435475110715,-0.005349098307210571,0.25460455037919827,1040,-3.4435605912020293,-0.0033111159530788744,806,-6.430874883908672,-0.007978752957703067,-116.74441922036168,8/12,,,,
GBPUSD,PULL,6,"{'rr': 3.0, 'stop_atr': 2.5, 'sides': 'L'}",605,-38.92136765861726,-0.06433283910515249,0.27107438016528923,333,-27.825900779389325,-0.08356126360176974,272,-11.095466879227939,-0.04079215764422036,-54.135894807447535,5/12,,,,
GBPUSD,PULL,7,"{'rr': 3.0, 'stop_atr': 2.5, 'sides': 'LS'}",1097,-58.449706705012204,-0.05328140994075862,0.2707383773928897,630,-10.845709521202261,-0.01721541193841629,467,-47.60399718380995,-0.10193575414092067,-84.12144767949962,4/12,,,,
GBPUSD,TSMOM,0,"{'N': 20, 'trail': 3.0, 'sides': 'L'}",47,-3.930690368678195,-0.08363170997187648,0.3404255319148936,31,-6.9603487263566235,-0.2245273782695685,16,3.0296583576784264,0.18935364735490165,-6.740133668415401,5/11,,,,
