sym,family,cell,params,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,yrs_pos,tr_avg_2x,va_net_2x
AUDUSD,GAPF,1,{'g_atr': 0.5},100,2.6370659069494047,0.026370659069494047,0.61,66,0.692350924952072,0.010490165529576849,34,1.944714981997333,0.0571974994705098,-7.079474797608502,5/11,0.024066455858067593,1.4124769587353827
AUDUSD,GAPF,2,{'g_atr': 0.8},72,1.756123941928966,0.024390610304568974,0.5972222222222222,50,0.5268299830585355,0.010536599661170709,22,1.2292939588704304,0.05587699813047411,-5.3697237891045795,6/11,0.0004681105837957866,0.9911512259467099
USDCAD,MR3,0,"{'sides': 'L', 'rr': 1.5}",53,1.0448607959560214,0.019714354640679648,0.39622641509433965,34,1.487849322754533,0.04376027419866274,19,-0.4429885267985124,-0.023315185620974337,-7.032471522639412,5/11,0.036237171770166804,-0.6098522687062731
USDCAD,MR3,1,"{'sides': 'L', 'rr': 2.5}",51,0.4056850489686016,0.007954608803305913,0.37254901960784315,34,1.6266999924375753,0.04784411742463457,17,-1.2210149434689739,-0.07182440843935141,-8.389253825654247,5/11,0.0392125972061669,-1.4180407237037882
USDCAD,MR3,2,"{'sides': 'LS', 'rr': 1.5}",118,-1.0738800653706897,-0.009100678520090591,0.4406779661016949,76,3.915554153534303,0.051520449388609245,42,-4.989434218904991,-0.11879605283107122,-13.704788319652867,5/11,0.03401562515047196,-5.363409119629816
USDCAD,MR3,3,"{'sides': 'LS', 'rr': 2.5}",116,1.4313950228757002,0.012339612266169829,0.43103448275862066,76,7.855967832922919,0.10336799780161736,40,-6.424572810047217,-0.16061432025118044,-16.496709213809932,5/11,0.0945532361253509,-6.855552090443624
USDCAD,RNGX,0,"{'sides': 'L', 'rr': 2.0}",204,3.8295261050961535,0.018772186789687027,0.3872549019607843,166,10.773520598358774,0.06490072649613719,38,-6.943994493262624,-0.18273669719112168,-20.41894889929459,6/11,0.04711874785262257,-8.74385721487741
USDCAD,RNGX,1,"{'sides': 'L', 'rr': 3.0}",192,15.655975104863181,0.08154153700449573,0.375,156,21.931887883288574,0.14058902489287547,36,-6.275912778425392,-0.17433091051181643,-18.66945521662926,8/11,0.13132130231830982,-6.9980012978761605
USDCAD,RNGX,2,"{'sides': 'LS', 'rr': 2.0}",343,-19.761825014104232,-0.0576146501868928,0.37317784256559766,269,-8.525618825561798,-0.03169375028089888,74,-11.236206188542434,-0.15184062416949234,-39.126387627495475,4/12,,
USDCAD,RNGX,3,"{'sides': 'LS', 'rr': 3.0}",322,-0.8674311696497821,-0.002693885620030379,0.36335403726708076,253,14.720527850779938,0.0581839045485373,69,-15.587959020429718,-0.22591244957144518,-30.454249252401446,6/12,0.04618117617117928,-16.8483130483344
USDCAD,GAPF,0,{'g_atr': 0.3},120,6.324022845193518,0.05270019037661265,0.6666666666666666,76,1.4225206056313202,0.01871737638988579,44,4.9015022395622,0.11139777817186819,-5.090232387012816,6/11,-0.002550092952525923,3.8704188042825285
USDCAD,GAPF,1,{'g_atr': 0.5},78,0.10873598679274576,0.0013940511127275097,0.6153846153846154,45,-2.1556492352018215,-0.047903316337818254,33,2.2643852219945675,0.06861773399983538,-4.111585137612268,7/11,,
USDCAD,GAPF,2,{'g_atr': 0.8},56,7.337325952089079,0.1310236777158764,0.6785714285714286,31,0.06786567172595026,0.0021892152169661373,25,7.269460280363128,0.29077841121452513,-2.978407328548499,7/11,-0.010575824574344927,6.9030136492130225
USDCHF,MR3,0,"{'sides': 'L', 'rr': 1.5}",35,2.1895390863033883,0.06255825960866823,0.5142857142857142,21,-3.4070934490468536,-0.1622425451927073,14,5.596632535350242,0.39975946681073155,-4.30035177177531,4/11,,
