pair,tf,t1,cost_mult,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
GBPUSD,5,swing,1.0,3407,0.24713824479013796,-0.06292276496194199,-214.37786022533638,1934,-0.06511300526533088,-125.92855218314992,1473,-0.06004705230291002,-88.44930804218646
GBPUSD,5,swing,0.0,3408,0.25029342723004694,0.11065383267555565,377.1082617582936,1935,0.09320884626646571,180.35911752561114,1473,0.13357036268342326,196.74914423268248
GBPUSD,5,swing,2.0,3407,0.2442031112415615,-0.17565342409791443,-598.4512159015944,1934,-0.16871999474321997,-326.30446983338743,1473,-0.18475678619701766,-272.146746068207
GBPUSD,5,rr5,1.0,3234,0.1997526283240569,-0.08780319867764999,-283.9555445235201,1829,-0.10231218194473604,-187.12898077692222,1405,-0.0689157037342334,-96.82656374659794
GBPUSD,5,rr5,0.0,3280,0.21646341463414634,0.05566541741883708,182.58256913378563,1849,0.007866595411644296,14.545334916130301,1431,0.11742643900604843,168.0372342176553
GBPUSD,5,rr5,2.0,3200,0.18625,-0.19109880166548568,-611.5161653295542,1809,-0.19739124742029215,-357.0807665833085,1391,-0.18291545560477762,-254.43539874624565
GBPUSD,15,swing,1.0,2951,0.3608946119959336,-0.06021444857450445,-177.69283774336262,1693,-0.08071562705747727,-136.65155660830902,1258,-0.03262422983708552,-41.04128113505358
GBPUSD,15,swing,0.0,2976,0.37533602150537637,0.03486735350953021,103.7652440443619,1708,0.0030181693695046138,5.15503328311388,1268,0.07776830501675712,98.61021076124803
GBPUSD,15,swing,2.0,2934,0.34696659850034084,-0.135700887799108,-398.1464048025828,1684,-0.14590861896783336,-245.7101143418314,1250,-0.12194903236860116,-152.43629046075145
GBPUSD,15,rr5,1.0,2688,0.2726934523809524,-0.052941332530566196,-142.30630184216193,1544,-0.08534446812329403,-131.771858782366,1144,-0.009208429248073352,-10.534443059795915
GBPUSD,15,rr5,0.0,2701,0.28915216586449466,0.047838245179884525,129.2111002308681,1552,0.004535679830818276,7.039375097429964,1149,0.10632874250081652,122.17172513343817
GBPUSD,15,rr5,2.0,2676,0.25747384155455905,-0.1293805423969634,-346.222331454274,1538,-0.15252836050844046,-234.5886184619814,1138,-0.09809640860482656,-111.63371299229263
GBPUSD,30,swing,1.0,2241,0.3788487282463186,-0.06557310826795572,-146.94933562848877,1296,-0.07556393573773498,-97.93086071610453,945,-0.05187140202368703,-49.01847491238424
GBPUSD,30,swing,0.0,2248,0.38834519572953735,0.005847140952356475,13.144372860897356,1299,-0.010145130199851261,-13.178524129606789,949,0.02773751000053124,26.322896990504148
GBPUSD,30,swing,2.0,2238,0.36952636282394996,-0.12176738825888135,-272.51541492337645,1294,-0.12714966785630633,-164.53167020606037,944,-0.1143895600819026,-107.98374471731606
GBPUSD,30,rr5,1.0,2154,0.32172701949860727,-0.04459702076674302,-96.06198273156446,1246,-0.06600339711702222,-82.24023280780969,908,-0.015222191545985413,-13.821749923754755
GBPUSD,30,rr5,0.0,2155,0.3308584686774942,0.024394921086831,52.57105494212081,1246,-0.0031001094829012812,-3.8627364156949966,909,0.062083378831480525,56.4337913578158
GBPUSD,30,rr5,2.0,2149,0.30944625407166126,-0.0983397618408493,-211.33214819598516,1243,-0.1101868011537403,-136.9621938340992,906,-0.08208604234203748,-74.36995436188596
GBPUSD,60,swing,1.0,1474,0.40637720488466755,-0.016642326945273817,-24.530789917333607,883,-0.02287343955977557,-20.197247131281827,591,-0.007332559705671355,-4.333542786051771
GBPUSD,60,swing,0.0,1474,0.4226594301221167,0.031420263338289865,46.31346816063926,883,0.02398098471969838,21.17520950749367,591,0.0425351246246118,25.138258653145574
GBPUSD,60,swing,2.0,1473,0.39443312966734556,-0.06163284893594075,-90.78518648264073,883,-0.06512558046960182,-57.50588755465841,590,-0.05640559140335987,-33.279298927982325
GBPUSD,60,rr5,1.0,1451,0.3680220537560303,-0.025944379208987508,-37.64529423224087,871,-0.0340288131103753,-29.63909621913688,580,-0.013803789677765495,-8.006198013103987
GBPUSD,60,rr5,0.0,1451,0.3838731909028256,0.025956261925410385,37.66253605377047,871,0.015378183214910985,13.394397580187468,580,0.0418416180579017,24.268138473582987
GBPUSD,60,rr5,2.0,1451,0.35699517574086836,-0.06569231281535522,-95.31954589508042,871,-0.07229081337295043,-62.96529844783982,580,-0.055783185253863145,-32.354247447240624
