cell,depth,runner,frac,cost_mult,med_hold_bars,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
d3-extBE-b50@2x,3.0,extBE,0.5,2.0,3575.0,3693,0.16896831844029245,-0.18724462778763742,-691.494410419745,2421,-0.21090439209046788,-510.5995332510227,1272,-0.1422129537489954,-180.89487716872216
d3-extCh2-b80@2x,3.0,extCh2,0.8,2.0,41.0,3693,0.1692391010018955,-0.26644248474533544,-983.9720961645237,2421,-0.2764666690428979,-669.3258057528558,1272,-0.24736343585822954,-314.64629041166796
d3-extCh2-b50@2x,3.0,extCh2,0.5,2.0,41.0,3693,0.16896831844029245,-0.2382757890306181,-879.9524888900727,2421,-0.24859225663957618,-601.8418533244139,1272,-0.218640436765455,-278.11063556565875
d3-extCh3-b80@2x,3.0,extCh3,0.8,2.0,110.0,3693,0.1692391010018955,-0.26749774512417407,-987.8691727435748,2421,-0.27595160034139526,-668.0788244265179,1272,-0.2514075065385666,-319.7903483170567
d3-extCh3-b50@2x,3.0,extCh3,0.5,2.0,110.0,3693,0.16896831844029245,-0.24091393997771468,-889.6951803377003,2421,-0.24730458488581983,-598.7244000085698,1272,-0.2287506134662977,-290.97078032913066
d4-sess-b80,4.0,sess,0.8,1.0,0.0,3267,0.1753902662993572,-0.11884722459273213,-388.2738827444559,2142,-0.1383895376284213,-296.4303896000784,1125,-0.08163866057277996,-91.84349314437746
d4-sess-b50,4.0,sess,0.5,1.0,0.0,3267,0.1753902662993572,-0.08196920599981981,-267.79339600141134,2142,-0.10346901518582675,-221.6306305280409,1125,-0.04103356930966265,-46.16276547337048
d4-extBE-b80,4.0,extBE,0.8,1.0,3590.0,3267,0.1753902662993572,-0.10774140119484098,-351.99115770354547,2142,-0.12498405803114308,-267.71585230270847,1125,-0.07491138257852185,-84.27530540083708
d4-extBE-b50,4.0,extBE,0.5,1.0,3590.0,3267,0.1753902662993572,-0.05420464750509201,-177.0865833991356,2142,-0.06995531619263118,-149.84428728461597,1125,-0.02421537432401744,-27.24229611451962
d4-extCh2-b80,4.0,extCh2,0.8,1.0,45.0,3267,0.1753902662993572,-0.12319328194704236,-402.4724521209874,2142,-0.14326835940263105,-306.8808258404357,1125,-0.08497033447160149,-95.59162628055168
d4-extCh2-b50,4.0,extCh2,0.5,1.0,45.0,3267,0.1753902662993572,-0.0928343493855954,-303.28981944274017,2142,-0.11566606962135115,-247.75672112893415,1125,-0.04936275405671649,-55.53309831380605
d4-extCh3-b80,4.0,extCh3,0.8,1.0,110.0,3267,0.1753902662993572,-0.12541825955355043,-409.7414539614493,2142,-0.14290708083963605,-306.1069671585004,1125,-0.0921195438248434,-103.63448680294883
d4-extCh3-b50,4.0,extCh3,0.5,1.0,110.0,3267,0.1753902662993572,-0.09839679340186559,-321.4623240438949,2142,-0.11476287321386368,-245.822074424096,1125,-0.06723577743982129,-75.64024961979895
d4-sess-b80@2x,4.0,sess,0.8,2.0,0.0,3264,0.1721813725490196,-0.2448804497477751,-799.2897879767379,2139,-0.2790537796351273,-596.8960346395372,1125,-0.17990555852195614,-202.39375333720065
d4-sess-b50@2x,4.0,sess,0.5,2.0,0.0,3264,0.1715686274509804,-0.2158899991753093,-704.6649573082095,2139,-0.2507827926143676,-536.4243934021323,1125,-0.1495471679165131,-168.24056390607723
